Data_Zone, SIMD_tot , Inc_rank , Emp_rank , Hlth_rank , Edu_rank , Hou_rank , Acc_rank , Crime_rank 
S01008832,0.70,0.84,0.67,0.55,0.84,0.83,0.23,0.41
S01008833,0.85,0.63,0.77,0.51,0.88,0.73,0.96,0.96
S01008834,0.92,0.85,0.73,0.62,0.83,0.77,0.84,0.65
S01008835,0.57,0.52,0.49,0.58,0.59,0.75,0.71,0.54
S01008836,0.22,0.29,0.19,0.16,0.24,0.26,0.17,0.66
S01008837,0.46,0.47,0.40,0.54,0.53,0.08,0.35,0.86
S01008838,0.55,0.64,0.56,0.64,0.38,0.18,0.72,0.59
S01008839,0.59,0.62,0.47,0.61,0.63,0.34,0.60,0.69
S01008840,0.81,0.80,0.79,0.73,0.56,0.42,0.57,0.83
S01008841,0.84,0.96,0.86,0.92,0.53,0.46,0.52,0.57
S01008842,0.65,0.60,0.88,0.82,0.49,0.51,0.17,0.96
S01008843,0.52,0.51,0.46,0.55,0.58,0.24,0.87,0.38
S01008844,0.65,0.59,0.60,0.60,0.61,0.34,0.66,0.87
S01008845,0.76,0.78,0.93,0.90,0.71,0.51,0.94,0.12
S01008846,0.54,0.51,0.48,0.51,0.63,0.52,0.75,0.56
S01008847,0.90,0.83,0.88,0.99,0.63,0.52,0.70,0.60
S01008848,0.54,0.61,0.47,0.71,0.49,0.58,0.47,0.42
